Wavenumber	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6	Control30_7	Control30_8	Control30_9	Control30_10	Control30_11	Control30_12	Control30_13	BacVan30 Amid_1	BacVan30 Amid_2	BacVan30 Amid_3	BacVan30 Amid_4	BacVan30 Amid_5	BacVan30 Amid_6	BacVan30 Amid_7	BacVan30 Amid_8	BacVan30 Amid_9	BacVan30 Amid_10	BacVan30 Amid_11	BacVan30 Amid_12	BacVan30 Amid_13	BacVan30 Amid_14	BacVan30 Amid_15	BacVan30 Amid_16	BacVan30 Amid_17	BacVan30 Amid_18	BacVan30 Amid_19	BacVan30 Amid_20	BacVan30 Amid_21	BacVan30 Amid_22	BacVan30 Amid_23	BacVan30 Amid_24	BacVan30 Amid_25	BacVan30 Amid_26	BacVan30 Amid_27	BacVan30 Amid_28	BacVan30 Amid_29	BacVan30 Amid_30	BacVan30 Amid_31	BacVan30 Amid_32	BacVan30 Zucker_1	BacVan30 Zucker_2	BacVan30 Zucker_3	BacVan30 Zucker_5	BacVan30 Zucker_6	BacVan30 Zucker_7	BacVan30 Zucker_8	BacVan30 Zucker_9	BacVan30 Zucker_10	BacVan30 Zucker_11	BacVan30 Zucker_12	BacVan30 Zucker_13	BacVan30 Zucker_14	BacVan30 Zucker_15	BacVan30 Zucker_16	BacVan30 Zucker_17	BacVan30 Zucker_18	BacVan30 Zucker_19	BacVan30 Zucker_20
1655	5.892668365	4.917739148	5.723167392	5.553705041	6.025365658	4.87106595	5.013903118	5.082300653	4.825361616	4.925662928	5.259459286	5.062472127	4.997358465	4.918601	4.723844	5.098396	4.320109	5.286614	5.022656	4.965706	4.810117	4.993104	5.158924	4.617310	4.954507	4.786493	4.050090	4.603221	4.926822	4.558458	4.973130	5.227894	5.221587	4.487521	4.884992	5.170158	4.546328	4.328911	4.599674	4.248214	3.996684	4.176086	4.571222	3.862369	4.430490	2.920138	4.298582	4.851730	3.515934	3.368816	4.498191	4.175313	3.576524	2.995136	3.844385	4.342849	3.129303	3.850716	4.344264	4.657834	4.807124	4.220212	4.407960	3.947631
1656	5.542160894	4.619241348	5.564405747	5.320910716	5.76371824	4.687739553	4.712831829	4.872423949	4.504787595	4.534153013	4.862677977	4.798282166	4.720246631	4.805737	4.760671	5.063239	4.445268	5.153141	4.945203	5.024934	4.748890	4.929383	5.173289	4.607929	4.904628	4.822231	4.002400	4.863950	4.877323	4.599491	4.995234	5.041492	5.204278	4.536898	4.806200	5.194670	4.556027	4.207220	4.567972	4.171113	4.038304	4.065559	4.533379	3.797163	4.404679	2.902027	4.364639	4.840023	3.519559	3.323604	4.465026	4.017900	3.541979	2.870712	3.589605	4.401446	3.142996	3.907580	4.316357	4.640037	4.735947	4.034417	4.495879	3.959732
1657	5.739705485	4.80285672	5.812905425	5.562715464	5.822155694	4.839048349	4.97133935	5.01099597	4.753368071	4.756903009	5.179485836	4.970824159	4.834930686	4.763589	4.672342	5.027970	4.336341	5.181262	4.890538	4.869217	4.664583	4.905341	5.085390	4.572809	4.736741	4.533158	3.922509	4.762641	5.052467	4.529315	5.010981	5.036756	5.155330	4.473131	4.728854	5.269924	4.552581	4.195947	4.424816	4.165474	4.099466	4.226308	4.355774	3.754366	4.305456	2.804154	4.199762	4.785807	3.450593	3.277614	4.418034	4.012423	3.419441	2.877316	3.726491	4.366258	3.030247	3.781787	4.234057	4.603986	4.706152	3.972373	4.418850	3.939563
1658	5.701962185	4.736718757	5.641521056	5.455133236	5.728557773	4.72777814	4.903321016	5.035643352	4.642222959	4.716912534	5.049012955	4.980415819	4.888094453	4.649800	4.587653	4.869940	4.227409	5.040955	4.814576	4.731020	4.735149	4.838469	5.010904	4.555888	4.728085	4.716635	3.975483	4.789109	4.942373	4.516972	4.813639	4.998046	5.112792	4.456866	4.681544	5.206137	4.504120	4.202327	4.394708	4.047642	4.187004	4.179522	4.408309	3.673490	4.290172	2.696753	4.181158	4.753072	3.346138	3.292440	4.236579	4.012916	3.424360	2.792248	3.845977	4.282986	3.043625	3.768087	4.222263	4.611915	4.728062	3.878423	4.355618	3.953082
1659	5.563491816	4.675662363	5.595452526	5.405424688	5.701471353	4.727103151	4.920554251	4.963467938	4.573172748	4.712380358	4.908750547	5.081097881	4.855847344	4.715691	4.737706	4.890462	4.308504	5.127251	4.895517	4.891901	4.877171	4.826308	4.927335	4.597844	4.644784	4.891567	3.962151	4.622322	4.951325	4.612454	4.878362	5.099779	5.108963	4.556273	4.694580	5.289664	4.520595	4.323257	4.581195	4.055635	4.144718	4.290475	4.447454	3.724974	4.388153	2.661761	4.244528	4.888151	3.469007	3.308179	4.261941	4.231302	3.429498	2.833137	3.789131	4.328596	3.112479	3.891117	4.251935	4.504978	4.636556	4.040951	4.427061	3.886863
1660	4.888571753	4.009593247	4.614691027	4.662656021	5.0475248	4.22624154	4.120648908	4.674386409	4.20685958	4.35196901	4.032861143	4.341634516	4.177654657	3.747467	3.871752	3.573072	2.231720	2.356298	3.422095	4.215725	4.453000	3.851850	3.698733	3.590554	4.137582	3.963867	3.280902	3.995089	4.265418	3.691502	3.721333	4.263700	4.143252	3.685227	3.891402	4.447338	3.761772	3.349024	3.955561	3.379851	3.297196	3.964594	3.564141	3.026565	3.698142	2.150308	3.530253	3.831536	2.822796	2.712616	3.326660	3.783916	2.812837	2.599098	2.955988	3.434740	2.602271	3.077459	3.675770	3.192697	3.746029	3.657022	3.771665	3.278218
1661	4.888571753	4.009593247	4.614691027	4.662656021	5.0475248	4.22624154	4.120648908	4.674386409	4.20685958	4.35196901	4.032861143	4.341634516	4.177654657	3.747467	3.871752	3.573072	2.231720	2.356298	3.422095	4.215725	4.453000	3.851850	3.698733	3.590554	4.137582	3.963867	3.280902	3.995089	4.265418	3.691502	3.721333	4.263700	4.143252	3.685227	3.891402	4.447338	3.761772	3.349024	3.955561	3.379851	3.297196	3.964594	3.564141	3.026565	3.698142	2.150308	3.530253	3.831536	2.822796	2.712616	3.326660	3.783916	2.812837	2.599098	2.955988	3.434740	2.602271	3.077459	3.675770	3.192697	3.746029	3.657022	3.771665	3.278218
1662	5.235817204	4.39336315	5.154427933	4.824907071	5.073406117	4.376640393	4.484205618	5.000448112	4.269731401	4.685595595	4.218076164	4.655207964	4.367812222	4.051382	4.296383	4.112290	4.033749	4.581947	3.617261	4.529336	4.788420	4.234917	4.073539	3.957509	4.211188	4.088075	3.437882	4.336139	4.492763	3.885754	4.117808	4.521097	4.434570	3.922197	4.452203	4.860764	4.113371	3.692213	4.305666	3.462314	3.779194	4.170760	4.026080	3.217287	3.908177	2.402420	3.866084	4.351459	3.179420	3.014247	3.520654	4.157023	3.135480	2.827499	3.274575	3.808629	2.681122	3.321325	3.870619	3.700909	4.019253	3.791701	4.095593	3.549049
1663	5.016806049	4.042591782	4.71668106	4.703426496	5.192803741	4.40872257	4.57609367	4.467723645	4.236892277	4.408980356	4.361380641	4.471518641	4.038336634	4.109096	4.284867	4.138369	4.154739	4.553120	3.738085	4.506627	4.898751	4.342323	3.928563	3.806338	4.332735	4.277524	3.499652	4.356935	4.551670	4.060068	4.237257	4.485758	4.585980	4.056541	4.227131	4.802044	4.067075	3.877965	4.395487	3.511191	3.889937	4.300200	4.058272	3.304410	4.016752	2.538087	3.942509	4.257267	3.194668	3.177868	3.636352	4.163805	3.117836	2.807237	3.257443	3.962646	2.898670	3.585165	3.985767	3.757871	3.923508	3.965128	4.190743	3.546074
1664	4.864297319	3.993702124	4.78172171	4.668374555	5.090878888	4.245903203	4.338634472	4.505789764	4.298687597	4.395918358	4.321659911	4.3489584	4.034531398	4.087416	4.299149	4.243510	4.176581	4.693408	3.789086	4.600449	4.759351	4.247089	4.215488	3.983953	4.484416	4.506267	3.512296	4.393729	4.523432	4.051996	4.227804	4.618748	4.809891	4.122562	4.584909	4.897520	4.218393	3.868353	4.382924	3.558777	3.959485	4.421872	3.925934	3.269912	4.105047	2.508108	4.125447	4.476966	3.197572	3.171902	3.715400	4.213812	3.075746	2.904056	3.455246	3.966945	2.918082	3.526300	3.929734	3.669473	4.066603	4.023880	4.147463	3.809867
